CustomerID,FirstName,LastName,Email,JoinDate,LastPurchaseDate,TotalPurchases,TotalSpend,Churn
1,John,Doe,johndoe@email.com,2022-01-05,2023-10-20,10,500.00,0
2,Jane,Smith,janesmith@email.com,2022-02-15,2023-09-10,5,250.00,1
3,Michael,Johnson,michael@email.com,2022-03-25,2023-11-05,8,400.00,0
4,Susan,Williams,susan@email.com,2022-04-10,2023-10-15,3,150.00,1
5,David,Brown,david@email.com,2022-05-20,2023-11-01,12,600.00,0
6,Linda,Lee,linda@email.com,2022-06-15,2023-09-30,6,300.00,0
7,James,Anderson,james@email.com,2022-07-05,2023-08-25,4,200.00,1
8,Emily,White,emily@email.com,2022-08-10,2023-10-10,7,350.00,0
9,Robert,Clark,robert@email.com,2022-09-25,2023-11-05,9,450.00,0
10,Mary,Hall,mary@email.com,2022-10-15,2023-11-03,11,550.00,0
11,William,Evans,william@email.com,2022-11-20,2023-10-02,6,300.00,1
12,Karen,Wilson,karen@email.com,2022-12-05,2023-11-08,15,750.00,0
13,Charles,Miller,charles@email.com,2023-01-10,2023-10-30,2,100.00,1
14,Sarah,Young,sarah@email.com,2023-02-15,2023-11-07,10,500.00,0
15,Joseph,Harris,joseph@email.com,2023-03-25,2023-10-15,7,350.00,1
16,Patricia,Moore,patricia@email.com,2023-04-10,2023-11-01,13,650.00,0
17,Christopher,Taylor,chris@email.com,2023-05-20,2023-10-28,5,250.00,1
18,Nancy,Martin,nancy@email.com,2023-06-15,2023-10-20,9,450.00,0
19,Daniel,King,daniel@email.com,2023-07-05,2023-10-12,4,200.00,1
20,Kimberly,Scott,kimberly@email.com,2023-08-10,2023-11-03,12,600.00,0
21,Mark,Turner,mark@email.com,2023-09-01,2023-11-02,3,150.00,1
22,Donna,Moore,donna@email.com,2023-10-05,2023-11-05,6,300.00,0
23,George,Adams,george@email.com,2023-11-15,2023-11-07,2,100.00,0
24,Julia,Scott,julia@email.com,2023-12-10,2023-11-03,5,250.00,0
25,Thomas,Bell,thomas@email.com,2024-01-20,2023-11-01,9,450.00,0
26,Megan,Harris,megan@email.com,2024-02-15,2023-10-25,4,200.00,1
27,Steven,Wilson,steven@email.com,2024-03-25,2023-10-12,10,500.00,0
28,Deborah,Jackson,deborah@email.com,2024-04-05,2023-10-05,8,400.00,1
29,Andrew,Turner,andrew@email.com,2024-05-15,2023-11-10,7,350.00,0
30,Laura,Smith,laura@email.com,2024-06-10,2023-11-08,11,550.00,0
31,John,White,john@email.com,2024-07-05,2023-11-12,3,150.00,1
32,Michelle,Roberts,michelle@email.com,2024-08-15,2023-11-14,12,600.00,0
33,Richard,Johnson,richard@email.com,2024-09-10,2023-10-02,6,300.00,0
34,Emily,Kim,emily@email.com,2024-10-20,2023-10-30,5,250.00,1
35,Christopher,Hall,chris@email.com,2024-11-25,2023-11-05,4,200.00,0
36,Lisa,Adams,lisa@email.com,2024-12-01,2023-11-03,9,450.00,0
37,Matthew,Kim,matthew@email.com,2025-01-05,2023-11-07,7,350.00,0
38,Karen,Jones,karen@email.com,2025-02-10,2023-11-15,15,750.00,0
39,David,Turner,david@email.com,2025-03-20,2023-11-20,6,300.00,0
40,Amy,Martin,amy@email.com,2025-04-25,2023-11-12,2,100.00,1
41,James,Smith,james@email.com,2025-05-15,2023-10-10,10,500.00,0
42,Kimberly,Hall,kimberly@email.com,2025-06-10,2023-10-28,5,250.00,0
43,Robert,Lee,robert@email.com,2025-07-05,2023-10-20,3,150.00,1
44,Patricia,Roberts,patricia@email.com,2025-08-15,2023-11-01,11,550.00,0
45,William,Johnson,william@email.com,2025-09-10,2023-11-02,4,200.00,0
46,Jennifer,Moore,jennifer@email.com,2025-10-20,2023-11-03,8,400.00,1
47,Michael,Smith,michael@email.com,2025-11-25,2023-11-05,6,300.00,0
48,Elizabeth,Wilson,elizabeth@email.com,2025-12-01,2023-11-08,7,350.00,0
49,John,Davis,john@email.com,2026-01-05,2023-11-10,9,450.00,0
50,Melissa,Johnson,melissa@email.com,2026-02-10,2023-11-14,5,250.00,0
51,Thomas,Miller,thomas@email.com,2026-03-20,2023-11-18,10,500.00,0
52,Susan,Williams,susan@email.com,2026-04-25,2023-11-25,5,250.00,1
53,Matthew,Scott,matthew@email.com,2026-05-15,2023-11-27,4,200.00,1
54,Emily,Turner,emily@email.com,2026-06-10,2023-11-29,7,350.00,0
